id,left_id,right_id,label,left_title,left_category,left_brand,left_modelno,left_price,right_title,right_category,right_brand,right_modelno,right_price
6786,2107,15941,0,atrend-bbox a201-12cp b box series single-sealed 10 up-fire enclosure,car stereos,atrend,a201-12cp,60.88,atrend 12pst b box series 12-inch truck box single-sealed shallow-mount enclosures,subwoofer boxes and enclosures,atrend,12pst,47.99
7657,1060,4728,0,da-lite da-plex self trimming rear projection screen - 58 x 104 hdtv format,electronics - general,da-lite,27590,4635.99,da-lite da-glas thru-the-wall rear projection screen - 78 x 139 hdtv format,projection screens,da-lite,23078,9044.23
833,1155,6941,0,ihome app-friendly rechargeable speaker system for ipad iphone ipod,electronics - general,ihome,id9s,99.99,ihome ih16 portable speaker system for ipod lilac,speaker systems,ihome,ih16uxc,39.99
7619,693,637,0,canon mp41dhii printing calculator,stationery & office machinery,canon,mp41dhii,70.88,canon mp27d printing calculator 6995a001ab,printing,canon,6995a001ab,55.71
5347,887,19779,0,da-lite dual vision tensioned advantage deluxe electrol - hdtv format 92 diagonal,electronics - general,da-lite,88285,4242.99,hc cinema vision tensioned advantage deluxe electrol - av format size 50 x 50,projection screens,da-lite,,
10020,898,11343,1,tp-link tl-sc3171g wireless day night surveillance camera,garden - general,tp link,tl-sc3171g,172.0,tp-link tl-sc3171 day and night surveillance camera,surveillance cameras,tp-link,tl-sc3171,109.99
8954,970,1891,0,iluv clear screen protective film for ipad 2,mp3 accessories,iluv,icc1193,14.88,incipio cl-470 screen protector for ipad 2 clear - 2 pack,screen protectors,incipio,cl-470,17.61
9342,2260,13143,0,panasonic kx-tga6645b dect 6.0 plus expandable digital cordless answering system with 5 handsets,electronics - general,panasonic,kx-tg6645b,150.0,vtech dect 6.0 expandable 2-handset cordless phone system with digital answering device and caller id cs6229-2,cordless telephones,vtech,cs6229-2,
4736,339,3592,0,sandisk 8gb cruzer usb flash drive pink,usb drives,sandisk,sdcz36z008gaw11p,12.88,sandisk cruzer blade 16gb usb 2.0 flash drive,usb flash drives,sandisk,sdcz50-016g,19.87
5729,166,6740,0,da-lite da-view thru-the-wall rear projection screen - 58 x 104 hdtv format,electronics - general,da-lite,23074,22472.99,da-lite data pro thru-the-wall rear projection screen - 52 x 92 hdtv format,projection screens,da-lite,23181,15985.81
4792,1716,17396,1,post-it flags dispenser flags assorted-size assorted colors 340pk,stationery & office machinery,,ds420va,24.94,new-post-it flags ds420va - dispenser flags blue red yellow green 340 assorted-size flags pack - mmmds420va,label makers,post-it,,
1094,822,6743,0,da-lite da-glas standard rear projection screen 81 x 108 video format,electronics - general,da-lite,27917,5391.99,da-lite da-plex self trimming rear projection screen - 94 1 2 x 168 hdtv format,projection screens,da-lite,27151,9233.33
1829,501,16349,0,edge tech 512mb proshot 100x compact flash memory card,usb drives,edge tech,pe204365,12.88,edge proshot - flash memory card - 4 gb - class 10 - sdhc,memory cards,edge,edgdm-225759-pe,8.08
696,1893,8667,0,evga geforce 8400 gs 1gb ddr3 pci express 2.0 graphics card,electronics - general,evga,01g-p3-1302-lr,44.99,msi geforce 210 1024 mb ddr3 pci-express 2.0 graphics card md1g d3,computers accessories,msi,n210-md1g / d3,42.99
9318,1979,2949,0,iomega 1tb ego desktop usb 2.0 portable hard drive - midnight blue,hard drives,iomega,34837,89.98,iomega ego 500 gb usb 2.0 portable external hard drive 34945,computers accessories,iomega,34945,74.84
4541,1506,16666,1,wilson jones super heavy weight sheet protector,stationery & office machinery,wilson jones,21402,10.94,new-wilson jones 21402 - super heavy weight sheet protector clear 25 box - wlj21402,storage presentation materials,wilson jones,,21.0
